n,mean_action,bin_left,bin_right,bin_center,policy
14,0.5,-0.789,-0.56,-0.6745000000000001,clinician
15,1.0,-0.56,-0.498,-0.529,clinician
16,0.75,-0.498,-0.449,-0.47350000000000003,clinician
14,1.1428571428571428,-0.449,-0.401,-0.42500000000000004,clinician
11,1.0,-0.401,-0.352,-0.3765,clinician
13,1.0769230769230769,-0.352,-0.304,-0.32799999999999996,clinician
17,0.8823529411764706,-0.304,-0.255,-0.27949999999999997,clinician
9,0.6666666666666666,-0.255,-0.207,-0.23099999999999998,clinician
15,0.8,-0.207,-0.159,-0.183,clinician
13,1.2307692307692308,-0.159,-0.11,-0.1345,clinician
15,0.13333333333333333,-0.11,-0.0618,-0.0859,clinician
10,0.6,-0.0618,0.0108,-0.025500000000000002,clinician
22,0.5909090909090909,0.0108,0.0834,0.0471,clinician
6,0.6666666666666666,0.0834,0.132,0.1077,clinician
14,0.5714285714285714,0.132,0.18,0.156,clinician
11,0.7272727272727273,0.18,0.287,0.23349999999999999,clinician
13,1.2307692307692308,0.287,0.345,0.31599999999999995,clinician
14,0.8571428571428571,0.345,0.427,0.386,clinician
14,0.35714285714285715,0.427,0.64,0.5335,clinician
13,1.3076923076923077,0.64,1.681,1.1605,clinician
14,0.5,-0.789,-0.56,-0.6745000000000001,bc
15,1.0,-0.56,-0.498,-0.529,bc
16,0.75,-0.498,-0.449,-0.47350000000000003,bc
14,1.0714285714285714,-0.449,-0.401,-0.42500000000000004,bc
11,1.0,-0.401,-0.352,-0.3765,bc
13,1.0769230769230769,-0.352,-0.304,-0.32799999999999996,bc
17,0.8823529411764706,-0.304,-0.255,-0.27949999999999997,bc
9,0.5555555555555556,-0.255,-0.207,-0.23099999999999998,bc
15,0.9333333333333333,-0.207,-0.159,-0.183,bc
13,1.2307692307692308,-0.159,-0.11,-0.1345,bc
15,0.2,-0.11,-0.0618,-0.0859,bc
10,0.6,-0.0618,0.0108,-0.025500000000000002,bc
22,0.6818181818181818,0.0108,0.0834,0.0471,bc
6,0.8333333333333334,0.0834,0.132,0.1077,bc
14,0.5,0.132,0.18,0.156,bc
11,0.8181818181818182,0.18,0.287,0.23349999999999999,bc
13,1.2307692307692308,0.287,0.345,0.31599999999999995,bc
14,1.0,0.345,0.427,0.386,bc
14,0.35714285714285715,0.427,0.64,0.5335,bc
13,1.4615384615384615,0.64,1.681,1.1605,bc
14,0.5,-0.789,-0.56,-0.6745000000000001,cql
15,1.0,-0.56,-0.498,-0.529,cql
16,0.8125,-0.498,-0.449,-0.47350000000000003,cql
14,1.1428571428571428,-0.449,-0.401,-0.42500000000000004,cql
11,1.0,-0.401,-0.352,-0.3765,cql
13,1.0769230769230769,-0.352,-0.304,-0.32799999999999996,cql
17,0.8823529411764706,-0.304,-0.255,-0.27949999999999997,cql
9,0.6666666666666666,-0.255,-0.207,-0.23099999999999998,cql
15,1.0,-0.207,-0.159,-0.183,cql
13,1.0769230769230769,-0.159,-0.11,-0.1345,cql
15,0.2,-0.11,-0.0618,-0.0859,cql
10,0.6,-0.0618,0.0108,-0.025500000000000002,cql
22,0.6363636363636364,0.0108,0.0834,0.0471,cql
6,0.6666666666666666,0.0834,0.132,0.1077,cql
14,0.5714285714285714,0.132,0.18,0.156,cql
11,0.7272727272727273,0.18,0.287,0.23349999999999999,cql
13,1.2307692307692308,0.287,0.345,0.31599999999999995,cql
14,1.1428571428571428,0.345,0.427,0.386,cql
14,0.35714285714285715,0.427,0.64,0.5335,cql
13,1.4615384615384615,0.64,1.681,1.1605,cql
14,3.4285714285714284,-0.789,-0.56,-0.6745000000000001,bcq
15,2.6666666666666665,-0.56,-0.498,-0.529,bcq
16,2.6875,-0.498,-0.449,-0.47350000000000003,bcq
14,2.2857142857142856,-0.449,-0.401,-0.42500000000000004,bcq
11,2.1818181818181817,-0.401,-0.352,-0.3765,bcq
13,2.4615384615384617,-0.352,-0.304,-0.32799999999999996,bcq
17,2.823529411764706,-0.304,-0.255,-0.27949999999999997,bcq
9,3.0,-0.255,-0.207,-0.23099999999999998,bcq
15,2.6,-0.207,-0.159,-0.183,bcq
13,2.076923076923077,-0.159,-0.11,-0.1345,bcq
15,3.466666666666667,-0.11,-0.0618,-0.0859,bcq
10,2.8,-0.0618,0.0108,-0.025500000000000002,bcq
22,2.8181818181818183,0.0108,0.0834,0.0471,bcq
6,3.1666666666666665,0.0834,0.132,0.1077,bcq
14,3.357142857142857,0.132,0.18,0.156,bcq
11,2.727272727272727,0.18,0.287,0.23349999999999999,bcq
13,2.1538461538461537,0.287,0.345,0.31599999999999995,bcq
14,2.642857142857143,0.345,0.427,0.386,bcq
14,3.0,0.427,0.64,0.5335,bcq
13,1.8461538461538463,0.64,1.681,1.1605,bcq
