action_bin,policy,proportion
0,BC,0.6011247198206853
0,BCQ (best@10k),0.2974303554274736
0,CQL (greedy),0.6014449247518412
0,Clinician,0.5997438360550752
1,BC,0.1558797630483509
1,BCQ (best@10k),0.0050832532821005
1,CQL (greedy),0.1593419788664745
1,Clinician,0.1601024655779699
2,BC,0.1580611591418508
2,BCQ (best@10k),6.003842459173871e-05
2,CQL (greedy),0.1574607748959334
2,Clinician,0.1601024655779699
3,BC,0.0424471661863592
3,BCQ (best@10k),0.6918427793788025
3,CQL (greedy),0.042347102145373
3,Clinician,0.0400256163944924
4,BC,0.0424871918027537
4,BCQ (best@10k),0.0055835734870317
4,CQL (greedy),0.0394052193403778
4,Clinician,0.0400256163944924
